roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
AI для учёбы,"Модуль 1. Python Core, терминал, Git",AI для учёбы,17,11,1,ide_plugin;python_pytest;quiz_single,covered
среда и терминал,"Модуль 1. Python Core, терминал, Git",Как работает компьютер; Терминал: базовые команды; Терминал: процессы и bash; CLI-проект: менеджер задач,72,24,25,ide_plugin;quiz_single,covered
Git и GitHub,"Модуль 1. Python Core, терминал, Git; Модуль 5. AI-интеграция, деплой и финальный проект",Git: первые коммиты; Git: индекс и история; Git: ветки; Git: отмена изменений; Git: merge и rebase; GitHub и remote; CLI-проект: менеджер задач; Финальный проект: Git workflow,144,48,55,ide_plugin;quiz_single,covered
Python Core,"Модуль 1. Python Core, терминал, Git; Модуль 2. Python Hard",Множества; Словари; map/filter/lambda; datetime; Итераторы; Генераторы; Декораторы; Контекстные менеджеры; Исключения; Экзамен 1; Файлы и pathlib; JSON и CSV; Логирование; Пакеты и импорты,154,70,14,ide_plugin;python_pytest;quiz_single,covered
CLI-проект,"Модуль 1. Python Core, терминал, Git",CLI-проект: менеджер задач,18,6,7,ide_plugin;quiz_single,covered
ООП,Модуль 2. Python Hard,ООП: классы; ООП: атрибуты; ООП: методы; Инкапсуляция; Композиция; Магические методы; Наследование; Полиморфизм; Абстракции; dataclasses,110,50,10,ide_plugin;python_pytest;quiz_single,covered
магические методы,Модуль 2. Python Hard,Магические методы,11,5,1,ide_plugin;python_pytest;quiz_single,covered
протоколы,Модуль 2. Python Hard,Протоколы Python,11,5,1,ide_plugin;python_pytest;quiz_single,covered
наследование и полиморфизм,Модуль 2. Python Hard,Наследование; Полиморфизм; Абстракции,33,15,3,ide_plugin;python_pytest;quiz_single,covered
типизация,Модуль 2. Python Hard,dataclasses; typing: база; typing: Optional и Union; typing: generics; mypy и контракты,60,29,5,ide_plugin;python_pytest;quiz_single,covered
threading,Модуль 2. Python Hard,threading,16,9,1,ide_plugin;python_pytest;quiz_single,covered
multiprocessing,Модуль 2. Python Hard,multiprocessing,16,9,1,ide_plugin;python_pytest;quiz_single,covered
asyncio,Модуль 2. Python Hard,asyncio: база; asyncio: задачи и очереди; asyncio: HTTP,48,27,3,ide_plugin;python_pytest;quiz_single,covered
алгоритмы и структуры данных,Модуль 2. Python Hard,"Алгоритмы: сложность; Массивы и списки; Hash map и set; Stack, queue, deque; Сортировки; Binary search",66,30,6,ide_plugin;python_pytest;quiz_single,covered
