module_order,module_title,lesson_order,lesson_title,step_order,step_title,step_type,checker_type,xp,difficulty,estimated_minutes
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,1,Смысл,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,2,Первый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,3,Возраст,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,4,Контроль,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,5,Правило,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,6,Формат,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,7,Мини-лаб,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,8,Граница,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,9,Проверка,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,10,Работа,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,11,Чистый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,12,Итоги,summary,,25,1,10
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,1,Смысл,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,2,Сумма,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,3,Возраст,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,4,Контроль,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,5,Правило,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,6,Формат,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,7,Мини-лаб,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,8,Граница,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,9,Проверка,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,10,Работа,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,11,Чистый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,12,Итоги,summary,,25,1,10
1,"Модуль 1. Python Core, терминал, Git",3,Строки,1,Смысл,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",3,Строки,2,Сумма,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",3,Строки,3,Возраст,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",3,Строки,4,Контроль,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",3,Строки,5,Правило,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",3,Строки,6,Формат,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",3,Строки,7,Мини-лаб,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",3,Строки,8,Граница,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",3,Строки,9,Проверка,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",3,Строки,10,Работа,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",3,Строки,11,Чистый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",3,Строки,12,Итоги,summary,,25,1,10
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,1,Смысл,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,2,Сумма,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,3,Возраст,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,4,Контроль,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,5,Правило,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,6,Формат,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,7,Мини-лаб,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,8,Граница,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,9,Проверка,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,10,Работа,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,11,Чистый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,12,Итоги,summary,,25,1,10
1,"Модуль 1. Python Core, терминал, Git",5,Условия,1,Смысл,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",5,Условия,2,Сумма,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",5,Условия,3,Возраст,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",5,Условия,4,Контроль,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",5,Условия,5,Правило,theory,,30,1,15
1,"Модуль 1. Python Core, терминал, Git",5,Условия,6,Формат,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",5,Условия,7,Мини-лаб,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",5,Условия,8,Граница,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",5,Условия,9,Проверка,test,quiz_single,40,1,11
1,"Модуль 1. Python Core, терминал, Git",5,Условия,10,Работа,project,ide_plugin,100,1,46
1,"Модуль 1. Python Core, терминал, Git",5,Условия,11,Чистый вывод,practice,python_stdout,60,1,21
1,"Модуль 1. Python Core, терминал, Git",5,Условия,12,Итоги,summary,,25,1,10
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,1,Смысл,theory,,30,1,15
