module_order,lesson_order,lesson_title,new_knowledge,allowed_prior_knowledge,future_knowledge_forbidden
1,1,Первый код,Python Core,"ничего, старт с нуля",да
1,2,Ввод и числа,Python Core,Первый код,да
1,3,Строки,Python Core,Первый код + Ввод и числа,да
1,4,bool и None,Python Core,Первый код + Ввод и числа + Строки,да
1,5,Условия,Python Core,Первый код + Ввод и числа + Строки + bool и None,да
1,6,Типы и память,Python Core,Первый код + Ввод и числа + Строки + bool и None + Условия,да
1,7,Циклы,Python Core,Первый код + Ввод и числа + Строки + bool и None + Условия + Типы и память,да
1,8,Списки,Python Core,Первый код + Ввод и числа + Строки + bool и None + Условия + Типы и память + Циклы,да
1,9,Функции,Python Core,Первый код + Ввод и числа + Строки + bool и None + Условия + Типы и память + Циклы + Списки,да
1,10,Кортежи,Python Core,Ввод и числа + Строки + bool и None + Условия + Типы и память + Циклы + Списки + Функции,да
1,11,Множества,Python Core,Строки + bool и None + Условия + Типы и память + Циклы + Списки + Функции + Кортежи,да
1,12,Словари,Python Core,bool и None + Условия + Типы и память + Циклы + Списки + Функции + Кортежи + Множества,да
1,13,map/filter/lambda,Python Core,Условия + Типы и память + Циклы + Списки + Функции + Кортежи + Множества + Словари,да
1,14,datetime,Python Core,Типы и память + Циклы + Списки + Функции + Кортежи + Множества + Словари + map/filter/lambda,да
1,15,Итераторы,Python Core,Циклы + Списки + Функции + Кортежи + Множества + Словари + map/filter/lambda + datetime,да
1,16,Генераторы,Python Core,Списки + Функции + Кортежи + Множества + Словари + map/filter/lambda + datetime + Итераторы,да
1,17,Декораторы,Python Core,Функции + Кортежи + Множества + Словари + map/filter/lambda + datetime + Итераторы + Генераторы,да
1,18,Контекстные менеджеры,Python Core,Кортежи + Множества + Словари + map/filter/lambda + datetime + Итераторы + Генераторы + Декораторы,да
1,19,Исключения,Python Core,Множества + Словари + map/filter/lambda + datetime + Итераторы + Генераторы + Декораторы + Контекстные менеджеры,да
1,20,AI для учёбы,AI для учёбы,Словари + map/filter/lambda + datetime + Итераторы + Генераторы + Декораторы + Контекстные менеджеры + Исключения,да
1,21,Как работает компьютер,среда и терминал,map/filter/lambda + datetime + Итераторы + Генераторы + Декораторы + Контекстные менеджеры + Исключения + AI для учёбы,да
1,22,Терминал: базовые команды,среда и терминал,datetime + Итераторы + Генераторы + Декораторы + Контекстные менеджеры + Исключения + AI для учёбы + Как работает компьютер,да
1,23,Терминал: процессы и bash,среда и терминал,Итераторы + Генераторы + Декораторы + Контекстные менеджеры + Исключения + AI для учёбы + Как работает компьютер + Терминал: базовые команды,да
1,24,Git: первые коммиты,Git и GitHub,Генераторы + Декораторы + Контекстные менеджеры + Исключения + AI для учёбы + Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash,да
1,25,Git: индекс и история,Git и GitHub,Декораторы + Контекстные менеджеры + Исключения + AI для учёбы + Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты,да
1,26,Git: ветки,Git и GitHub,Контекстные менеджеры + Исключения + AI для учёбы + Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история,да
1,27,Git: отмена изменений,Git и GitHub,Исключения + AI для учёбы + Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история + Git: ветки,да
1,28,Git: merge и rebase,Git и GitHub,AI для учёбы + Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история + Git: ветки + Git: отмена изменений,да
1,29,GitHub и remote,Git и GitHub,Как работает компьютер + Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история + Git: ветки + Git: отмена изменений + Git: merge и rebase,да
1,30,CLI-проект: менеджер задач,"CLI-проект, среда и терминал, Git и GitHub",Терминал: базовые команды + Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история + Git: ветки + Git: отмена изменений + Git: merge и rebase + GitHub и remote,да
1,31,Экзамен 1,Python Core,Терминал: процессы и bash + Git: первые коммиты + Git: индекс и история + Git: ветки + Git: отмена изменений + Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач,да
2,1,ООП: классы,ООП,Git: первые коммиты + Git: индекс и история + Git: ветки + Git: отмена изменений + Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач + Экзамен 1,да
2,2,ООП: атрибуты,ООП,Git: индекс и история + Git: ветки + Git: отмена изменений + Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач + Экзамен 1 + ООП: классы,да
2,3,ООП: методы,ООП,Git: ветки + Git: отмена изменений + Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач + Экзамен 1 + ООП: классы + ООП: атрибуты,да
2,4,Инкапсуляция,ООП,Git: отмена изменений + Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач + Экзамен 1 + ООП: классы + ООП: атрибуты + ООП: методы,да
2,5,Композиция,ООП,Git: merge и rebase + GitHub и remote + CLI-проект: менеджер задач + Экзамен 1 + ООП: классы + ООП: атрибуты + ООП: методы + Инкапсуляция,да
2,6,Магические методы,"магические методы, ООП",GitHub и remote + CLI-проект: менеджер задач + Экзамен 1 + ООП: классы + ООП: атрибуты + ООП: методы + Инкапсуляция + Композиция,да
2,7,Протоколы Python,протоколы,CLI-проект: менеджер задач + Экзамен 1 + ООП: классы + ООП: атрибуты + ООП: методы + Инкапсуляция + Композиция + Магические методы,да
2,8,Наследование,"наследование и полиморфизм, ООП",Экзамен 1 + ООП: классы + ООП: атрибуты + ООП: методы + Инкапсуляция + Композиция + Магические методы + Протоколы Python,да
2,9,Полиморфизм,"наследование и полиморфизм, ООП",ООП: классы + ООП: атрибуты + ООП: методы + Инкапсуляция + Композиция + Магические методы + Протоколы Python + Наследование,да
2,10,Абстракции,"наследование и полиморфизм, ООП",ООП: атрибуты + ООП: методы + Инкапсуляция + Композиция + Магические методы + Протоколы Python + Наследование + Полиморфизм,да
2,11,dataclasses,"ООП, типизация",ООП: методы + Инкапсуляция + Композиция + Магические методы + Протоколы Python + Наследование + Полиморфизм + Абстракции,да
2,12,typing: база,типизация,Инкапсуляция + Композиция + Магические методы + Протоколы Python + Наследование + Полиморфизм + Абстракции + dataclasses,да
2,13,typing: Optional и Union,типизация,Композиция + Магические методы + Протоколы Python + Наследование + Полиморфизм + Абстракции + dataclasses + typing: база,да
2,14,typing: generics,типизация,Магические методы + Протоколы Python + Наследование + Полиморфизм + Абстракции + dataclasses + typing: база + typing: Optional и Union,да
2,15,mypy и контракты,"типизация, pytest",Протоколы Python + Наследование + Полиморфизм + Абстракции + dataclasses + typing: база + typing: Optional и Union + typing: generics,да
