module_order,module_title,lesson_order,lesson_title,step_order,step_title,step_type,checker_type,xp,difficulty,estimated_minutes
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,1,Смысл,theory,,10,1,7
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,2,Что делает print,test,quiz_single,25,1,5
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,3,Запусти пример,practice,python_stdout,35,1,6
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,4,Первый вывод,practice,python_stdout,49,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,5,Две строки,practice,python_stdout,50,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,6,Порядок строк,practice,python_stdout,51,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,7,Кавычки,theory,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,8,Математика,practice,python_stdout,53,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,9,Имя,practice,python_stdout,54,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,10,Сначала создать,practice,python_stdout,55,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,11,Переменная,theory,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,12,Анкета,practice,python_stdout,57,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,13,Лишний текст,practice,python_stdout,58,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,14,Мини-чеклист,practice,python_stdout,59,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,15,Точный вывод,theory,,10,1,6
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,16,Контроль урока,test,quiz_single,50,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,17,Переменная,practice,python_stdout,90,3,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,18,Без лишнего текста,practice,python_stdout,90,3,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,19,Порядок команд,practice,python_stdout,90,3,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,20,Мини-проект,project,ide_plugin,130,4,45
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,21,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,4,Округление,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,5,Следующий год,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,6,Сумма,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,7,Цена,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,8,Деление,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",3,Строки,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",3,Строки,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",3,Строки,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",3,Строки,4,Склейка,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,5,Края строки,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,6,Регистр,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,7,Срез,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,8,Замена,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",3,Строки,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",3,Строки,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,4,Логическое и,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,5,Пустая строка,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,6,None,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,7,Явное сравнение,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,8,Не равно,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",5,Условия,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",5,Условия,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",5,Условия,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",5,Условия,4,Вложенная проверка,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,5,Возраст,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,6,Статус,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,7,Guard,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,8,Диапазон,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",5,Условия,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",5,Условия,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,4,Str,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,5,Тип,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,6,Строка плюс число,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,7,Копия значения,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,8,Float,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",6,Типы и память,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,4,Continue,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,5,Range,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,6,Сумма цикла,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,7,While,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,8,Break,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",7,Циклы,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",8,Списки,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",8,Списки,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",8,Списки,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",8,Списки,4,Мутация,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",8,Списки,5,Индекс,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",8,Списки,6,Append,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",8,Списки,7,Копия,practice,python_stdout,70,3,24
1,"Модуль 1. Python Core, терминал, Git",8,Списки,8,Фильтр,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",8,Списки,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",8,Списки,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",8,Списки,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",9,Функции,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",9,Функции,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",9,Функции,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",9,Функции,4,Build Label,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",9,Функции,5,Keyword Summary,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",9,Функции,6,Keyword Summary,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",9,Функции,7,Shipping Total,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",9,Функции,8,Shipping Total,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",9,Функции,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",9,Функции,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",9,Функции,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,4,Unpack Status,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,5,Swap Pair,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,6,Unpack Status,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,7,Swap Pair,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,8,Swap Pair,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",10,Кортежи,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",11,Множества,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",11,Множества,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",11,Множества,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",11,Множества,4,Missing Permissions,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",11,Множества,5,Missing Permissions,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",11,Множества,6,Is Subset,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",11,Множества,7,Missing Permissions,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",11,Множества,8,Missing Permissions,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",11,Множества,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",11,Множества,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",11,Множества,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",12,Словари,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",12,Словари,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",12,Словари,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",12,Словари,4,Group By Owner,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",12,Словари,5,Nested Email,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",12,Словари,6,Nested Email,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",12,Словари,7,Count Statuses,practice,python_pytest,70,3,24
1,"Модуль 1. Python Core, терминал, Git",12,Словари,8,Count Statuses,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",12,Словари,9,Закрепление,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",12,Словари,10,Работа в IDE,project,ide_plugin,120,3,45
1,"Модуль 1. Python Core, терминал, Git",12,Словари,11,Итоги,summary,,20,1,8
1,"Модуль 1. Python Core, терминал, Git",13,map/filter/lambda,1,Смысл,theory,,20,2,16
1,"Модуль 1. Python Core, терминал, Git",13,map/filter/lambda,2,Минимальный пример,theory,,20,2,14
1,"Модуль 1. Python Core, терминал, Git",13,map/filter/lambda,3,Понимание,test,quiz_single,25,2,8
1,"Модуль 1. Python Core, терминал, Git",13,map/filter/lambda,4,Map Prices,practice,python_pytest,70,2,24
1,"Модуль 1. Python Core, терминал, Git",13,map/filter/lambda,5,Compose Filter Map,practice,python_pytest,70,3,24
