module_order,module_title,lesson_order,lesson_title,step_order,step_title,step_type,checker_type,xp,difficulty,estimated_minutes
1,Глава 1. Java Metanit,1,Что такое Java,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,1,Что такое Java,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,1,Что такое Java,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,2,Первая программа на Java,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,2,Первая программа на Java,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,2,Первая программа на Java,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,3,Первая программа в NetBeans,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,3,Первая программа в NetBeans,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,3,Первая программа в NetBeans,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,4,Первая программа в Eclipse,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,4,Первая программа в Eclipse,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,4,Первая программа в Eclipse,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,5,Первая программа в IntelliJ IDEA,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,5,Первая программа в IntelliJ IDEA,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,5,Первая программа в IntelliJ IDEA,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,6,Установка JDK,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,6,Установка JDK,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,6,Установка JDK,3,Практика,practice,java_stdout,75,2,25
1,Глава 1. Java Metanit,7,JShell,1,Теория,theory,,30,1,20
1,Глава 1. Java Metanit,7,JShell,2,Квиз,test,quiz_single,45,1,10
1,Глава 1. Java Metanit,7,JShell,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,1,Переменные и константы,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,1,Переменные и константы,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,1,Переменные и константы,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,2,Преобразования базовых типов данных,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,2,Преобразования базовых типов данных,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,2,Преобразования базовых типов данных,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,3,Арифметические операции,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,3,Арифметические операции,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,3,Арифметические операции,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,4,Массивы,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,4,Массивы,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,4,Массивы,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,5,Условные конструкции,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,5,Условные конструкции,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,5,Условные конструкции,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,6,Циклы,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,6,Циклы,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,6,Циклы,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,7,Методы,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,7,Методы,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,7,Методы,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,8,Рекурсивные функции,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,8,Рекурсивные функции,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,8,Рекурсивные функции,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,9,Консольный ввод/вывод в Java,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,9,Консольный ввод/вывод в Java,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,9,Консольный ввод/вывод в Java,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,10,Обработка исключений и конструкция try...catch...finally,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,10,Обработка исключений и конструкция try...catch...finally,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,10,Обработка исключений и конструкция try...catch...finally,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,11,Структура программы на Java,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,11,Структура программы на Java,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,11,Структура программы на Java,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,12,Типы данных,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,12,Типы данных,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,12,Типы данных,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,13,Поразрядные операции,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,13,Поразрядные операции,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,13,Поразрядные операции,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,14,Условные выражения,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,14,Условные выражения,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,14,Условные выражения,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,15,Операции присваивания и приоритет операций,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,15,Операции присваивания и приоритет операций,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,15,Операции присваивания и приоритет операций,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,16,Параметры методов,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,16,Параметры методов,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,16,Параметры методов,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,17,Оператор return. Результат метода,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,17,Оператор return. Результат метода,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,17,Оператор return. Результат метода,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,18,Перегрузка методов,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,18,Перегрузка методов,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,18,Перегрузка методов,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,19,Литералы,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,19,Литералы,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,19,Литералы,3,Практика,practice,java_stdout,75,2,25
2,Глава 2. Java Metanit,20,Конструкция и выражение switch,1,Теория,theory,,30,1,20
2,Глава 2. Java Metanit,20,Конструкция и выражение switch,2,Квиз,test,quiz_single,45,1,10
2,Глава 2. Java Metanit,20,Конструкция и выражение switch,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,1,Классы и объекты,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,1,Классы и объекты,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,1,Классы и объекты,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,2,Пакеты,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,2,Пакеты,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,2,Пакеты,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,3,Модификаторы доступа,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,3,Модификаторы доступа,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,3,Модификаторы доступа,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,4,Статические компоненты класса и модификатор static,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,4,Статические компоненты класса и модификатор static,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,4,Статические компоненты класса и модификатор static,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,5,Наследование,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,5,Наследование,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,5,Наследование,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,6,Абстрактные классы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,6,Абстрактные классы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,6,Абстрактные классы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,7,Интерфейсы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,7,Интерфейсы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,7,Интерфейсы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,8,Перечисления enum,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,8,Перечисления enum,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,8,Перечисления enum,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,9,Класс Object и его методы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,9,Класс Object и его методы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,9,Класс Object и его методы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,10,Иерархия наследования и преобразование типов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,10,Иерархия наследования и преобразование типов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,10,Иерархия наследования и преобразование типов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,11,Обобщения (Generics),1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,11,Обобщения (Generics),2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,11,Обобщения (Generics),3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,12,Внутренние и вложенные классы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,12,Внутренние и вложенные классы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,12,Внутренние и вложенные классы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,13,Ссылочные типы и копирование объектов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,13,Ссылочные типы и копирование объектов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,13,Ссылочные типы и копирование объектов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,14,Объекты как параметры методов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,14,Объекты как параметры методов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,14,Объекты как параметры методов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,15,Наследование и обобщения,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,15,Наследование и обобщения,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,15,Наследование и обобщения,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,16,Интерфейсы в механизме обратного вызова,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,16,Интерфейсы в механизме обратного вызова,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,16,Интерфейсы в механизме обратного вызова,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,17,Ограничения обобщений,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,17,Ограничения обобщений,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,17,Ограничения обобщений,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,18,Классы Records,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,18,Классы Records,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,18,Классы Records,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,19,Компактные файлы кода и метод main,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,19,Компактные файлы кода и метод main,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,19,Компактные файлы кода и метод main,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,20,Область действия и время жизни переменных,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,20,Область действия и время жизни переменных,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,20,Область действия и время жизни переменных,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,21,Конструкторы и инициализаторы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,21,Конструкторы и инициализаторы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,21,Конструкторы и инициализаторы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,22,Инкапсуляция,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,22,Инкапсуляция,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,22,Инкапсуляция,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,23,Запрет наследования и переопределения методов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,23,Запрет наследования и переопределения методов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,23,Запрет наследования и переопределения методов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,24,Полиморфизм и динамическая диспетчеризация методов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,24,Полиморфизм и динамическая диспетчеризация методов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,24,Полиморфизм и динамическая диспетчеризация методов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,25,Sealed-классы и интерфейсы,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,25,Sealed-классы и интерфейсы,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,25,Sealed-классы и интерфейсы,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,26,Pattern мatching. Паттерн типов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,26,Pattern мatching. Паттерн типов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,26,Pattern мatching. Паттерн типов,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,27,Pattern мatching. record-паттерн,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,27,Pattern мatching. record-паттерн,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,27,Pattern мatching. record-паттерн,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,28,Интерфейсы и полиморфизм,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,28,Интерфейсы и полиморфизм,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,28,Интерфейсы и полиморфизм,3,Практика,practice,java_stdout,75,2,25
3,Глава 3. Java Metanit,29,Множественная реализация и наследование интерфейсов,1,Теория,theory,,30,1,20
3,Глава 3. Java Metanit,29,Множественная реализация и наследование интерфейсов,2,Квиз,test,quiz_single,45,1,10
3,Глава 3. Java Metanit,29,Множественная реализация и наследование интерфейсов,3,Практика,practice,java_stdout,75,2,25
