roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
AI для учёбы,"Модуль 1. Python Core, терминал, Git",AI для учёбы,12,5,2,ide_plugin; python_stdout; quiz_single,covered
среда и терминал,"Модуль 1. Python Core, терминал, Git",Как работает компьютер; Терминал: база; Терминал: процессы,36,15,6,ide_plugin; python_stdout; quiz_single,covered
Git и GitHub,"Модуль 1. Python Core, терминал, Git; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD GitHub Actions; Git: merge и rebase; Git: ветки; Git: индекс и история; Git: отмена изменений; Git: первые коммиты,108,45,18,ide_plugin; python_stdout; quiz_single,covered
Python Core,"Модуль 1. Python Core, терминал, Git; Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",JSON и CSV; bool и None; datetime; map/filter/lambda; Ввод и числа; Генераторы,288,120,48,ide_plugin; python_stdout; quiz_single,covered
CLI-проект,"Модуль 1. Python Core, терминал, Git",CLI-проект,12,5,2,ide_plugin; python_stdout; quiz_single,covered
ООП,Модуль 2. Python Hard,dataclasses; Абстракции; Магические методы; Наследование; ООП: атрибуты и методы; ООП: инкапсуляция,120,50,20,ide_plugin; python_pytest; quiz_single,covered
магические методы,Модуль 2. Python Hard,Магические методы,12,5,2,ide_plugin; python_pytest; quiz_single,covered
протоколы,Модуль 2. Python Hard,Протоколы Python,12,5,2,ide_plugin; python_pytest; quiz_single,covered
наследование и полиморфизм,Модуль 2. Python Hard,Наследование; Полиморфизм,24,10,4,ide_plugin; python_pytest; quiz_single,covered
типизация,Модуль 2. Python Hard,mypy и контракты; typing: generics; typing: база,36,15,6,ide_plugin; python_stdout; quiz_single,covered
threading,Модуль 2. Python Hard,threading,12,5,2,ide_plugin; python_pytest; quiz_single,covered
multiprocessing,Модуль 2. Python Hard,multiprocessing,12,5,2,ide_plugin; python_pytest; quiz_single,covered
asyncio,Модуль 2. Python Hard,asyncio: HTTP; asyncio: база; multiprocessing; threading,48,20,8,ide_plugin; python_pytest; quiz_single,covered
алгоритмы и структуры данных,Модуль 2. Python Hard,алгоритмы: сложность; сортировки и поиск; структуры данных,36,15,6,ide_plugin; python_stdout; quiz_single,covered
SQL,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование","DDL и constraints; INSERT, UPDATE, DELETE; Middleware; SQL: CTE; SQL: GROUP BY; SQL: JOIN",312,130,52,ide_plugin; python_pytest; quiz_single; sql_query,covered
транзакции,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",SQLAlchemy transactions; SQLite: транзакции; Транзакции и ACID,36,15,6,ide_plugin; python_pytest; python_stdout; quiz_single; sql_query,covered
уровни изоляции,"Модуль 3. SQL, базы данных и сети",Изоляция,12,5,2,ide_plugin; quiz_single; sql_query,covered
блокировки,"Модуль 3. SQL, базы данных и сети",Блокировки,12,5,2,ide_plugin; quiz_single; sql_query,covered
индексы,"Модуль 3. SQL, базы данных и сети",Индексы и EXPLAIN,12,5,2,ide_plugin; quiz_single; sql_query,covered
NoSQL,"Модуль 3. SQL, базы данных и сети",NoSQL,12,5,2,ide_plugin; python_stdout; quiz_single,covered
Redis,"Модуль 3. SQL, базы данных и сети",Redis,12,5,2,ide_plugin; python_stdout; quiz_single,covered
ClickHouse / OLAP,"Модуль 3. SQL, базы данных и сети",ClickHouse и OLAP,12,5,2,ide_plugin; python_stdout; quiz_single,covered
S3 / MinIO,"Модуль 3. SQL, базы данных и сети",S3 и MinIO,12,5,2,ide_plugin; python_stdout; quiz_single,covered
сети,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP,12,5,2,ide_plugin; python_stdout; quiz_single,covered
