module_order,module_title,lesson_order,lesson_title,step_order,step_title,step_type,checker_type,xp,difficulty,estimated_minutes
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,1,Смысл,theory,,20,1,15
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,2,Проверка понимания,test,quiz_single,20,1,8
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,3,Первый вывод,practice,python_stdout,40,1,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,4,Простая задача,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,5,Ошибка,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,6,Основная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,7,Прикладная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,8,Крайний случай,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,9,Закрепление,test,quiz_single,25,2,10
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,10,Работа в IDE,project,ide_plugin,110,3,55
1,"Модуль 1. Python Core, терминал, Git",1,Первый код,11,Итоги,summary,,15,1,10
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,1,Смысл,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,2,Минимальный пример,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,3,Понимание,test,quiz_single,20,1,10
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,4,Простая задача,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,5,Ошибка,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,6,Основная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,7,Прикладная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,8,Крайний случай,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,9,Закрепление,test,quiz_single,25,2,10
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,10,Работа в IDE,project,ide_plugin,110,3,55
1,"Модуль 1. Python Core, терминал, Git",2,Ввод и числа,11,Итоги,summary,,15,1,10
1,"Модуль 1. Python Core, терминал, Git",3,Строки,1,Смысл,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",3,Строки,2,Минимальный пример,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",3,Строки,3,Понимание,test,quiz_single,20,1,10
1,"Модуль 1. Python Core, терминал, Git",3,Строки,4,Простая задача,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,5,Ошибка,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",3,Строки,6,Основная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",3,Строки,7,Прикладная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",3,Строки,8,Крайний случай,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",3,Строки,9,Закрепление,test,quiz_single,25,2,10
1,"Модуль 1. Python Core, терминал, Git",3,Строки,10,Работа в IDE,project,ide_plugin,110,3,55
1,"Модуль 1. Python Core, терминал, Git",3,Строки,11,Итоги,summary,,15,1,10
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,1,Смысл,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,2,Минимальный пример,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,3,Понимание,test,quiz_single,20,1,10
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,4,Простая задача,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,5,Ошибка,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,6,Основная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,7,Прикладная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,8,Крайний случай,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,9,Закрепление,test,quiz_single,25,2,10
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,10,Работа в IDE,project,ide_plugin,110,3,55
1,"Модуль 1. Python Core, терминал, Git",4,bool и None,11,Итоги,summary,,15,1,10
1,"Модуль 1. Python Core, терминал, Git",5,Условия,1,Смысл,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",5,Условия,2,Минимальный пример,theory,,20,1,18
1,"Модуль 1. Python Core, терминал, Git",5,Условия,3,Понимание,test,quiz_single,20,1,10
1,"Модуль 1. Python Core, терминал, Git",5,Условия,4,Простая задача,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,5,Ошибка,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",5,Условия,6,Основная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",5,Условия,7,Прикладная задача,practice,python_pytest,70,2,28
1,"Модуль 1. Python Core, терминал, Git",5,Условия,8,Крайний случай,practice,python_stdout,70,2,24
1,"Модуль 1. Python Core, терминал, Git",5,Условия,9,Закрепление,test,quiz_single,25,2,10
1,"Модуль 1. Python Core, терминал, Git",5,Условия,10,Работа в IDE,project,ide_plugin,110,3,55
1,"Модуль 1. Python Core, терминал, Git",5,Условия,11,Итоги,summary,,15,1,10
