roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
AI для учёбы,"Модуль 1. Python Core, терминал, Git",AI для учёбы,11,5,1,ide_plugin;python_pytest;quiz_single,covered
среда и терминал,"Модуль 1. Python Core, терминал, Git",Как работает компьютер; Терминал: базовые команды; Терминал: процессы и bash; CLI-проект: менеджер задач,56,16,21,ide_plugin;quiz_single,covered
Git и GitHub,"Модуль 1. Python Core, терминал, Git; Модуль 5. AI-интеграция, деплой и финальный проект",Git: первые коммиты; Git: индекс и история; Git: ветки; Git: отмена изменений; Git: merge и rebase; GitHub и remote; CLI-проект: менеджер задач; Финальный проект: Git workflow,112,32,47,ide_plugin;quiz_single,covered
Python Core,"Модуль 1. Python Core, терминал, Git; Модуль 2. Python Hard",Первый код; Ввод и числа; Строки; bool и None; Условия; Типы и память; Циклы; Списки; Функции; Кортежи; Множества; Словари; map/filter/lambda; datetime; Итераторы; Генераторы; Декораторы; Контекстные менеджеры; Исключения; Экзамен 1; Файлы и pathlib; JSON и CSV; Логирование; Пакеты и импорты,270,125,23,ide_plugin;python_pytest;python_stdout;quiz_single,covered
CLI-проект,"Модуль 1. Python Core, терминал, Git",CLI-проект: менеджер задач,14,4,6,ide_plugin;quiz_single,covered
ООП,Модуль 2. Python Hard,ООП: классы; ООП: атрибуты; ООП: методы; Инкапсуляция; Композиция; Магические методы; Наследование; Полиморфизм; Абстракции; dataclasses,110,50,10,ide_plugin;python_pytest;quiz_single,covered
магические методы,Модуль 2. Python Hard,Магические методы,11,5,1,ide_plugin;python_pytest;quiz_single,covered
протоколы,Модуль 2. Python Hard,Протоколы Python,11,5,1,ide_plugin;python_pytest;quiz_single,covered
наследование и полиморфизм,Модуль 2. Python Hard,Наследование; Полиморфизм; Абстракции,33,15,3,ide_plugin;python_pytest;quiz_single,covered
типизация,Модуль 2. Python Hard,dataclasses; typing: база; typing: Optional и Union; typing: generics; mypy и контракты,55,25,5,ide_plugin;python_pytest;quiz_single,covered
threading,Модуль 2. Python Hard,threading,11,5,1,ide_plugin;python_pytest;quiz_single,covered
multiprocessing,Модуль 2. Python Hard,multiprocessing,11,5,1,ide_plugin;python_pytest;quiz_single,covered
asyncio,Модуль 2. Python Hard,asyncio: база; asyncio: задачи и очереди; asyncio: HTTP,33,15,3,ide_plugin;python_pytest;quiz_single,covered
алгоритмы и структуры данных,Модуль 2. Python Hard,"Алгоритмы: сложность; Массивы и списки; Hash map и set; Stack, queue, deque; Сортировки; Binary search",66,30,6,ide_plugin;python_pytest;quiz_single,covered
SQL,"Модуль 3. SQL, базы данных и сети","SQL: SELECT; SQL: WHERE; SQL: ORDER BY и LIMIT; SQL: LIKE, IN, BETWEEN, NULL; SQL: агрегаты; SQL: GROUP BY; SQL: HAVING; SQL: INNER JOIN; SQL: LEFT JOIN; SQL: self join; SQL: подзапросы; SQL: CTE; SQL: оконные функции; SQL: INSERT, UPDATE, DELETE; SQL: constraints; SQL: нормализация; SQL: transactions и ACID; SQL: изоляция, блокировки, индексы; SQLite: файл базы; SQLite: sqlite3 CLI; SQLite: DDL и constraints; SQLite: CRUD; SQLite: transactions и PRAGMA; sqlite3 через Python; SQLite repository и проекты; ClickHouse и OLAP; Проектирование схемы; Индексы и EXPLAIN; Экзамен 3",419,237,37,ide_plugin;python_pytest;quiz_single;sql_query,covered
SQLite/sqlite3,"Модуль 3. SQL, базы данных и сети",SQLite: файл базы; SQLite: sqlite3 CLI; SQLite: DDL и constraints; SQLite: CRUD; SQLite: transactions и PRAGMA; sqlite3 через Python; SQLite repository и проекты; Экзамен 3,104,48,16,ide_plugin;python_pytest;quiz_single;sql_query,covered
транзакции,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",SQL: transactions и ACID; SQLite: transactions и PRAGMA; SQLAlchemy transactions,41,21,5,http_api;ide_plugin;python_pytest;quiz_single;sql_query,covered
уровни изоляции,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы",15,9,1,ide_plugin;quiz_single;sql_query,covered
блокировки,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы",15,9,1,ide_plugin;quiz_single;sql_query,covered
индексы,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы; Проектирование схемы; Индексы и EXPLAIN",45,27,3,ide_plugin;quiz_single;sql_query,covered
NoSQL,"Модуль 3. SQL, базы данных и сети",NoSQL: документы,11,5,1,ide_plugin;python_pytest;quiz_single,covered
Redis,"Модуль 3. SQL, базы данных и сети",Redis,11,5,1,ide_plugin;python_pytest;quiz_single,covered
ClickHouse / OLAP,"Модуль 3. SQL, базы данных и сети",ClickHouse и OLAP,15,9,1,ide_plugin;quiz_single;sql_query,covered
S3 / MinIO,"Модуль 3. SQL, базы данных и сети",S3 и MinIO,11,5,1,ide_plugin;python_pytest;quiz_single,covered
сети,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP; HTTP и HTTPS; Экзамен 3,35,16,4,ide_plugin;python_pytest;quiz_single;sql_query,covered
